instance,solver,metric
48,NaiveGreedyGraphColoringHeuristic,4
48,MultiStartGreedyGraphColoringHeuristic,4
48,DSATUR,3
49,NaiveGreedyGraphColoringHeuristic,4
49,MultiStartGreedyGraphColoringHeuristic,4
49,DSATUR,4
50,NaiveGreedyGraphColoringHeuristic,4
50,MultiStartGreedyGraphColoringHeuristic,4
50,DSATUR,3
51,NaiveGreedyGraphColoringHeuristic,4
51,MultiStartGreedyGraphColoringHeuristic,4
51,DSATUR,3
52,NaiveGreedyGraphColoringHeuristic,4
52,MultiStartGreedyGraphColoringHeuristic,4
52,DSATUR,3
53,NaiveGreedyGraphColoringHeuristic,4
53,MultiStartGreedyGraphColoringHeuristic,4
53,DSATUR,3
54,NaiveGreedyGraphColoringHeuristic,4
54,MultiStartGreedyGraphColoringHeuristic,4
54,DSATUR,4
55,NaiveGreedyGraphColoringHeuristic,4
55,MultiStartGreedyGraphColoringHeuristic,4
55,DSATUR,4
56,NaiveGreedyGraphColoringHeuristic,4
56,MultiStartGreedyGraphColoringHeuristic,4
56,DSATUR,4
57,NaiveGreedyGraphColoringHeuristic,4
57,MultiStartGreedyGraphColoringHeuristic,4
57,DSATUR,3
58,NaiveGreedyGraphColoringHeuristic,4
58,MultiStartGreedyGraphColoringHeuristic,4
58,DSATUR,3
59,NaiveGreedyGraphColoringHeuristic,4
59,MultiStartGreedyGraphColoringHeuristic,4
59,DSATUR,3
60,NaiveGreedyGraphColoringHeuristic,4
60,MultiStartGreedyGraphColoringHeuristic,4
60,DSATUR,3
61,NaiveGreedyGraphColoringHeuristic,4
61,MultiStartGreedyGraphColoringHeuristic,4
61,DSATUR,4
62,NaiveGreedyGraphColoringHeuristic,4
62,MultiStartGreedyGraphColoringHeuristic,4
62,DSATUR,3
63,NaiveGreedyGraphColoringHeuristic,4
63,MultiStartGreedyGraphColoringHeuristic,4
63,DSATUR,3
64,NaiveGreedyGraphColoringHeuristic,4
64,MultiStartGreedyGraphColoringHeuristic,4
64,DSATUR,4
65,NaiveGreedyGraphColoringHeuristic,4
65,MultiStartGreedyGraphColoringHeuristic,4
65,DSATUR,4
66,NaiveGreedyGraphColoringHeuristic,4
66,MultiStartGreedyGraphColoringHeuristic,4
66,DSATUR,3
67,NaiveGreedyGraphColoringHeuristic,4
67,MultiStartGreedyGraphColoringHeuristic,4
67,DSATUR,4
68,NaiveGreedyGraphColoringHeuristic,4
68,MultiStartGreedyGraphColoringHeuristic,4
68,DSATUR,4
69,NaiveGreedyGraphColoringHeuristic,4
69,MultiStartGreedyGraphColoringHeuristic,4
69,DSATUR,3
