instance,solver,metric
48,NaiveGreedyGraphColoringHeuristic,41
48,MultiStartGreedyGraphColoringHeuristic,41
48,DSATUR,38
49,NaiveGreedyGraphColoringHeuristic,42
49,MultiStartGreedyGraphColoringHeuristic,40
49,DSATUR,35
50,NaiveGreedyGraphColoringHeuristic,42
50,MultiStartGreedyGraphColoringHeuristic,42
50,DSATUR,36
51,NaiveGreedyGraphColoringHeuristic,42
51,MultiStartGreedyGraphColoringHeuristic,43
51,DSATUR,39
52,NaiveGreedyGraphColoringHeuristic,42
52,MultiStartGreedyGraphColoringHeuristic,42
52,DSATUR,37
53,NaiveGreedyGraphColoringHeuristic,44
53,MultiStartGreedyGraphColoringHeuristic,41
53,DSATUR,37
54,NaiveGreedyGraphColoringHeuristic,43
54,MultiStartGreedyGraphColoringHeuristic,40
54,DSATUR,36
55,NaiveGreedyGraphColoringHeuristic,40
55,MultiStartGreedyGraphColoringHeuristic,40
55,DSATUR,34
56,NaiveGreedyGraphColoringHeuristic,43
56,MultiStartGreedyGraphColoringHeuristic,42
56,DSATUR,37
57,NaiveGreedyGraphColoringHeuristic,44
57,MultiStartGreedyGraphColoringHeuristic,41
57,DSATUR,38
58,NaiveGreedyGraphColoringHeuristic,41
58,MultiStartGreedyGraphColoringHeuristic,41
58,DSATUR,36
59,NaiveGreedyGraphColoringHeuristic,42
59,MultiStartGreedyGraphColoringHeuristic,43
59,DSATUR,37
60,NaiveGreedyGraphColoringHeuristic,41
60,MultiStartGreedyGraphColoringHeuristic,41
60,DSATUR,37
61,NaiveGreedyGraphColoringHeuristic,42
61,MultiStartGreedyGraphColoringHeuristic,41
61,DSATUR,37
62,NaiveGreedyGraphColoringHeuristic,43
62,MultiStartGreedyGraphColoringHeuristic,42
62,DSATUR,39
63,NaiveGreedyGraphColoringHeuristic,44
63,MultiStartGreedyGraphColoringHeuristic,41
63,DSATUR,38
64,NaiveGreedyGraphColoringHeuristic,43
64,MultiStartGreedyGraphColoringHeuristic,41
64,DSATUR,36
65,NaiveGreedyGraphColoringHeuristic,42
65,MultiStartGreedyGraphColoringHeuristic,41
65,DSATUR,38
66,NaiveGreedyGraphColoringHeuristic,42
66,MultiStartGreedyGraphColoringHeuristic,42
66,DSATUR,38
67,NaiveGreedyGraphColoringHeuristic,42
67,MultiStartGreedyGraphColoringHeuristic,40
67,DSATUR,36
68,NaiveGreedyGraphColoringHeuristic,42
68,MultiStartGreedyGraphColoringHeuristic,41
68,DSATUR,38
69,NaiveGreedyGraphColoringHeuristic,41
69,MultiStartGreedyGraphColoringHeuristic,41
69,DSATUR,37
70,NaiveGreedyGraphColoringHeuristic,42
70,MultiStartGreedyGraphColoringHeuristic,40
70,DSATUR,38
71,NaiveGreedyGraphColoringHeuristic,42
71,MultiStartGreedyGraphColoringHeuristic,40
71,DSATUR,37
72,NaiveGreedyGraphColoringHeuristic,43
72,MultiStartGreedyGraphColoringHeuristic,41
72,DSATUR,37
73,NaiveGreedyGraphColoringHeuristic,41
73,MultiStartGreedyGraphColoringHeuristic,42
73,DSATUR,38
74,NaiveGreedyGraphColoringHeuristic,43
74,MultiStartGreedyGraphColoringHeuristic,42
74,DSATUR,38
75,NaiveGreedyGraphColoringHeuristic,43
75,MultiStartGreedyGraphColoringHeuristic,41
75,DSATUR,39
76,NaiveGreedyGraphColoringHeuristic,43
76,MultiStartGreedyGraphColoringHeuristic,41
76,DSATUR,37
77,NaiveGreedyGraphColoringHeuristic,44
77,MultiStartGreedyGraphColoringHeuristic,41
77,DSATUR,38
78,NaiveGreedyGraphColoringHeuristic,42
78,MultiStartGreedyGraphColoringHeuristic,40
78,DSATUR,38
79,NaiveGreedyGraphColoringHeuristic,43
