instance,solver,metric
48,NaiveGreedyGraphColoringHeuristic,3
48,MultiStartGreedyGraphColoringHeuristic,3
48,DSATUR,3
49,NaiveGreedyGraphColoringHeuristic,2
49,MultiStartGreedyGraphColoringHeuristic,3
49,DSATUR,2
50,NaiveGreedyGraphColoringHeuristic,3
50,MultiStartGreedyGraphColoringHeuristic,3
50,DSATUR,3
51,NaiveGreedyGraphColoringHeuristic,3
51,MultiStartGreedyGraphColoringHeuristic,3
51,DSATUR,3
52,NaiveGreedyGraphColoringHeuristic,3
52,MultiStartGreedyGraphColoringHeuristic,3
52,DSATUR,3
53,NaiveGreedyGraphColoringHeuristic,3
53,MultiStartGreedyGraphColoringHeuristic,3
53,DSATUR,3
54,NaiveGreedyGraphColoringHeuristic,2
54,MultiStartGreedyGraphColoringHeuristic,3
54,DSATUR,2
55,NaiveGreedyGraphColoringHeuristic,2
55,MultiStartGreedyGraphColoringHeuristic,3
55,DSATUR,2
56,NaiveGreedyGraphColoringHeuristic,2
56,MultiStartGreedyGraphColoringHeuristic,3
56,DSATUR,2
57,NaiveGreedyGraphColoringHeuristic,3
57,MultiStartGreedyGraphColoringHeuristic,3
57,DSATUR,3
58,NaiveGreedyGraphColoringHeuristic,3
58,MultiStartGreedyGraphColoringHeuristic,3
58,DSATUR,3
59,NaiveGreedyGraphColoringHeuristic,3
59,MultiStartGreedyGraphColoringHeuristic,3
59,DSATUR,3
60,NaiveGreedyGraphColoringHeuristic,3
60,MultiStartGreedyGraphColoringHeuristic,3
60,DSATUR,3
61,NaiveGreedyGraphColoringHeuristic,2
61,MultiStartGreedyGraphColoringHeuristic,3
61,DSATUR,2
62,NaiveGreedyGraphColoringHeuristic,3
62,MultiStartGreedyGraphColoringHeuristic,3
62,DSATUR,3
63,NaiveGreedyGraphColoringHeuristic,3
63,MultiStartGreedyGraphColoringHeuristic,3
63,DSATUR,3
64,NaiveGreedyGraphColoringHeuristic,2
64,MultiStartGreedyGraphColoringHeuristic,3
64,DSATUR,2
65,NaiveGreedyGraphColoringHeuristic,2
65,MultiStartGreedyGraphColoringHeuristic,3
65,DSATUR,2
66,NaiveGreedyGraphColoringHeuristic,3
66,MultiStartGreedyGraphColoringHeuristic,3
66,DSATUR,3
67,NaiveGreedyGraphColoringHeuristic,2
67,MultiStartGreedyGraphColoringHeuristic,3
67,DSATUR,2
68,NaiveGreedyGraphColoringHeuristic,2
68,MultiStartGreedyGraphColoringHeuristic,3
68,DSATUR,2
69,NaiveGreedyGraphColoringHeuristic,3
69,MultiStartGreedyGraphColoringHeuristic,3
69,DSATUR,3
70,NaiveGreedyGraphColoringHeuristic,2
70,MultiStartGreedyGraphColoringHeuristic,3
70,DSATUR,2
71,NaiveGreedyGraphColoringHeuristic,2
71,MultiStartGreedyGraphColoringHeuristic,3
71,DSATUR,2
72,NaiveGreedyGraphColoringHeuristic,3
72,MultiStartGreedyGraphColoringHeuristic,3
72,DSATUR,3
73,NaiveGreedyGraphColoringHeuristic,2
73,MultiStartGreedyGraphColoringHeuristic,3
73,DSATUR,2
74,NaiveGreedyGraphColoringHeuristic,3
74,MultiStartGreedyGraphColoringHeuristic,3
74,DSATUR,3
75,NaiveGreedyGraphColoringHeuristic,3
75,MultiStartGreedyGraphColoringHeuristic,3
75,DSATUR,3
76,NaiveGreedyGraphColoringHeuristic,2
76,MultiStartGreedyGraphColoringHeuristic,3
76,DSATUR,2
77,NaiveGreedyGraphColoringHeuristic,2
77,MultiStartGreedyGraphColoringHeuristic,3
77,DSATUR,2
78,NaiveGreedyGraphColoringHeuristic,3
78,MultiStartGreedyGraphColoringHeuristic,3
78,DSATUR,3
79,NaiveGreedyGraphColoringHeuristic,2
79,MultiStartGreedyGraphColoringHeuristic,3
79,DSATUR,2
80,NaiveGreedyGraphColoringHeuristic,2
80,MultiStartGreedyGraphColoringHeuristic,3
80,DSATUR,2
81,NaiveGreedyGraphColoringHeuristic,2
81,MultiStartGreedyGraphColoringHeuristic,3
81,DSATUR,2
82,NaiveGreedyGraphColoringHeuristic,2
