instance,solver,metric
9,ASSILPSolverGurobi Preprocessed,24
9,REPILPSolverGurobi Preprocessed,27
9,NotEqualSolver Preprocessed,23
9,AllDifferentSolver Preprocessed,22
9,PYSATSolver Preprocessed,23
10,ASSILPSolverCPSat Preprocessed,21
10,ASS_S_ILPSolverCPSat Preprocessed,21
10,REPILPSolverCPSat Preprocessed,22
10,ASSILPSolverGurobi Preprocessed,25
10,REPILPSolverGurobi Preprocessed,27
10,NotEqualSolver Preprocessed,23
10,AllDifferentSolver Preprocessed,23
10,PYSATSolver Preprocessed,23
1,NaiveGreedyGraphColoringHeuristic,28
1,MultiStartGreedyGraphColoringHeuristic,28
1,DSATUR,26
2,NaiveGreedyGraphColoringHeuristic,28
2,MultiStartGreedyGraphColoringHeuristic,28
2,DSATUR,24
3,NaiveGreedyGraphColoringHeuristic,28
3,MultiStartGreedyGraphColoringHeuristic,28
3,DSATUR,25
4,NaiveGreedyGraphColoringHeuristic,29
4,MultiStartGreedyGraphColoringHeuristic,27
4,DSATUR,24
5,NaiveGreedyGraphColoringHeuristic,29
5,MultiStartGreedyGraphColoringHeuristic,27
5,DSATUR,25
6,NaiveGreedyGraphColoringHeuristic,28
6,MultiStartGreedyGraphColoringHeuristic,28
6,DSATUR,24
7,NaiveGreedyGraphColoringHeuristic,29
7,MultiStartGreedyGraphColoringHeuristic,28
7,DSATUR,24
8,NaiveGreedyGraphColoringHeuristic,29
8,MultiStartGreedyGraphColoringHeuristic,27
8,DSATUR,24
9,NaiveGreedyGraphColoringHeuristic,29
9,MultiStartGreedyGraphColoringHeuristic,27
9,DSATUR,24
10,NaiveGreedyGraphColoringHeuristic,28
10,MultiStartGreedyGraphColoringHeuristic,28
10,DSATUR,25
