instance,solver,metric
le450_5d.col,NotEqualSolver Preprocessed,5
le450_5d.col,AllDifferentSolver Preprocessed,5
le450_5d.col,PYSATSolver Preprocessed,5
jean.col,ASSILPSolverCPSat,10
jean.col,ASS_S_ILPSolverCPSat,10
jean.col,ASSILPSolverGurobi,10
jean.col,ASS_S_ILPSolverGurobi,10
jean.col,NotEqualSolver,10
jean.col,AllDifferentSolver,10
jean.col,PYSATSolver,10
huck.col,ASSILPSolverCPSat,11
huck.col,ASS_S_ILPSolverCPSat,11
huck.col,ASSILPSolverGurobi,11
huck.col,ASS_S_ILPSolverGurobi,11
huck.col,NotEqualSolver,11
huck.col,AllDifferentSolver,11
huck.col,PYSATSolver,11
zeroin.i.1.col,ASSILPSolverCPSat,49
zeroin.i.1.col,ASS_S_ILPSolverCPSat,49
zeroin.i.1.col,ASSILPSolverGurobi,49
zeroin.i.1.col,ASS_S_ILPSolverGurobi,49
zeroin.i.1.col,NotEqualSolver,49
zeroin.i.1.col,AllDifferentSolver,49
zeroin.i.1.col,PYSATSolver,49
fpsol2.i.1.col,ASSILPSolverCPSat,65
fpsol2.i.1.col,ASS_S_ILPSolverCPSat,65
fpsol2.i.1.col,ASSILPSolverGurobi,65
fpsol2.i.1.col,ASS_S_ILPSolverGurobi,65
fpsol2.i.1.col,NotEqualSolver,65
fpsol2.i.1.col,AllDifferentSolver,65
fpsol2.i.1.col,PYSATSolver,65
fpsol2.i.2.col,ASSILPSolverCPSat,30
fpsol2.i.2.col,ASS_S_ILPSolverCPSat,30
fpsol2.i.2.col,ASSILPSolverGurobi,30
fpsol2.i.2.col,ASS_S_ILPSolverGurobi,30
fpsol2.i.2.col,NotEqualSolver,30
fpsol2.i.2.col,AllDifferentSolver,30
fpsol2.i.2.col,PYSATSolver,30
fpsol2.i.3.col,ASSILPSolverCPSat,30
fpsol2.i.3.col,ASS_S_ILPSolverCPSat,30
fpsol2.i.3.col,ASSILPSolverGurobi,30
fpsol2.i.3.col,ASS_S_ILPSolverGurobi,30
fpsol2.i.3.col,NotEqualSolver,30
fpsol2.i.3.col,AllDifferentSolver,30
fpsol2.i.3.col,PYSATSolver,30
le450_15b.col,ASSILPSolverCPSat,15
le450_15b.col,ASS_S_ILPSolverCPSat,15
le450_15b.col,ASSILPSolverGurobi,17
le450_15b.col,ASS_S_ILPSolverGurobi,17
le450_15b.col,NotEqualSolver,15
le450_15b.col,AllDifferentSolver,15
le450_15b.col,PYSATSolver,15
le450_15c.col,ASSILPSolverCPSat,21
le450_15c.col,ASS_S_ILPSolverCPSat,20
le450_15c.col,ASSILPSolverGurobi,24
le450_15c.col,NotEqualSolver,23
le450_15c.col,AllDifferentSolver,23
le450_15c.col,PYSATSolver,22
le450_15d.col,ASSILPSolverCPSat,21
le450_15d.col,ASS_S_ILPSolverCPSat,21
le450_15d.col,ASSILPSolverGurobi,24
le450_15d.col,ASS_S_ILPSolverGurobi,24
le450_15d.col,NotEqualSolver,23
le450_15d.col,AllDifferentSolver,22
le450_15d.col,PYSATSolver,22
le450_25a.col,ASSILPSolverCPSat,25
le450_25a.col,ASS_S_ILPSolverCPSat,25
le450_25a.col,ASSILPSolverGurobi,25
le450_25a.col,ASS_S_ILPSolverGurobi,25
le450_25a.col,NotEqualSolver,25
le450_25a.col,AllDifferentSolver,25
le450_25a.col,PYSATSolver,25
le450_25b.col,ASSILPSolverCPSat,25
le450_25b.col,ASS_S_ILPSolverCPSat,25
le450_25b.col,ASSILPSolverGurobi,25
le450_25b.col,ASS_S_ILPSolverGurobi,25
le450_25b.col,NotEqualSolver,25
le450_25b.col,AllDifferentSolver,25
le450_25b.col,PYSATSolver,25
le450_25c.col,ASSILPSolverCPSat,27
le450_25c.col,ASS_S_ILPSolverCPSat,27
le450_25c.col,NotEqualSolver,27
le450_25c.col,AllDifferentSolver,27
le450_25c.col,PYSATSolver,27
le450_25d.col,ASSILPSolverCPSat,27
le450_25d.col,ASS_S_ILPSolverCPSat,27
le450_25d.col,ASSILPSolverGurobi,29
le450_25d.col,NotEqualSolver,27
le450_25d.col,AllDifferentSolver,27
le450_25d.col,PYSATSolver,27
le450_5a.col,ASSILPSolverCPSat,5
le450_5a.col,ASS_S_ILPSolverCPSat,5
le450_5a.col,ASSILPSolverGurobi,10
le450_5a.col,ASS_S_ILPSolverGurobi,10
le450_5a.col,NotEqualSolver,5
le450_5a.col,AllDifferentSolver,5
