instance,solver,metric
barabasi_albert_4,REPILPSolverGurobi Preprocessed,23
barabasi_albert_4,NotEqualSolver Preprocessed,23
barabasi_albert_4,AllDifferentSolver Preprocessed,23
barabasi_albert_4,PYSATSolver Preprocessed,23
barabasi_albert_5,ASSILPSolverCPSat Preprocessed,21
barabasi_albert_5,ASS_S_ILPSolverCPSat Preprocessed,21
barabasi_albert_5,REPILPSolverCPSat Preprocessed,21
barabasi_albert_5,ASSILPSolverGurobi Preprocessed,21
barabasi_albert_5,ASS_S_ILPSolverGurobi Preprocessed,21
barabasi_albert_5,REPILPSolverGurobi Preprocessed,21
barabasi_albert_5,NotEqualSolver Preprocessed,22
barabasi_albert_5,AllDifferentSolver Preprocessed,21
barabasi_albert_5,PYSATSolver Preprocessed,21
barabasi_albert_6,ASSILPSolverCPSat Preprocessed,22
barabasi_albert_6,ASS_S_ILPSolverCPSat Preprocessed,22
barabasi_albert_6,REPILPSolverCPSat Preprocessed,22
barabasi_albert_6,ASSILPSolverGurobi Preprocessed,22
barabasi_albert_6,ASS_S_ILPSolverGurobi Preprocessed,22
barabasi_albert_6,REPILPSolverGurobi Preprocessed,22
barabasi_albert_6,NotEqualSolver Preprocessed,22
barabasi_albert_6,AllDifferentSolver Preprocessed,22
barabasi_albert_6,PYSATSolver Preprocessed,22
barabasi_albert_7,ASSILPSolverCPSat Preprocessed,22
barabasi_albert_7,ASS_S_ILPSolverCPSat Preprocessed,22
barabasi_albert_7,REPILPSolverCPSat Preprocessed,23
barabasi_albert_7,ASSILPSolverGurobi Preprocessed,22
barabasi_albert_7,ASS_S_ILPSolverGurobi Preprocessed,22
barabasi_albert_7,REPILPSolverGurobi Preprocessed,22
barabasi_albert_7,NotEqualSolver Preprocessed,22
barabasi_albert_7,AllDifferentSolver Preprocessed,22
barabasi_albert_7,PYSATSolver Preprocessed,22
barabasi_albert_8,ASSILPSolverCPSat Preprocessed,23
barabasi_albert_8,ASS_S_ILPSolverCPSat Preprocessed,23
barabasi_albert_8,REPILPSolverCPSat Preprocessed,23
